Damlaya damlaya göl olur. | Atasözü | Common
Erken kalkan yol alır. | Atasözü | Common
Sakla samanı gelir zamanı. | Atasözü | Common
Emek olmadan yemek olmaz. | Atasözü | Common
Bir koltuğa iki karpuz sığmaz. | Atasözü | Common
İki cambaz bir ipte oynamaz. | Atasözü | Common
İşleyen demir pas tutmaz. | Atasözü | Common
Görünen köy kılavuz istemez. | Atasözü | Common
İyilik eden, iyilik bulur. | Atasözü | Common

Hayat, siz planlar yaparken başınıza gelenlerdir. | John Lennon | Rare
Düşünüyorum, öyleyse varım. | Descartes | Rare
Bilgi sahibi olmadan fikir sahibi olunamaz. | Uğur Mumcu | Rare
Bir insаnın nаsıl güldüğünden terbiyesini, neye güldüğünden аkıl seviyesini аnlаrsın… | Hz. Mevlana | Rare
Kulа belа gelmez, hаk yаzmаdıkçа… Hаk belа yаzmаz, kul аzmаdıkçа… | Hz. Mevlana | Rare
İnsanın öğrenmesi gereken ilk dil tatlı dildir. | Barış Manço | Rare
Altın çöpe düşse değerini kaybeder mi? Tenekeyi parlatsan hiç çeyrek altın eder mi? | Barış Manço | Rare

Geldikleri gibi giderler! | Mustafa Kemal Atatürk | Epic
En büyük risk, hiç risk almamaktır. | Mark Zuckerberg | Epic
Beni öldürmeyen şey, beni güçlendirir. | Nietzsche | Epic
İnanmak başarmanın yarısıdır. | Konfücyüs | Epic
Yetenek sizi ortalama insanların üzerine çıkarır. Çalışmak ise yetenekli insanların üzerine çıkarır. | Mete Gazoz | Epic

Benim naçiz vücudum elbet bir gün toprak olacaktır, ancak Türkiye Cumhuriyeti ilelebet payidar kalacaktır. | Mustafa Kemal Atatürk | Legendary
Umutsuz durumlar yoktur, umutsuz insanlar vardır. Ben hiçbir zaman umudumu yitirmedim. | Mustafa Kemal Atatürk | Legendary


